        起 点 站        终 点 站        飞 行 日 期        航 班 号        飞 机 号        乘 载 量        余 票 量
            成都  --->      上海           20200608          EU0568           P0662             100             100
            成都  --->      广州           20200608          EU6574           P0552             100             100
            成都  --->      西安           20200608          EU1665           P0409             100             100
            成都  --->      深圳           20200608          EU1954           P0765             100             100
            成都  --->      香港           20200608          EU2202           P0130             100             100
            成都  --->      昆明           20200608          EU5208           P0054             100             100
            成都  --->      杭州           20200608          EU1933           P0424             100             100
            成都  --->      厦门           20200608          EU2219           P0902             100             100
            广州  --->      北京           20200608          BY2454           P0293             100             100
            广州  --->      上海           20200608          BY6577           P0947             100             100
            广州  --->      成都           20200608          BY0580           P0303             100             100
            广州  --->      西安           20200608          BY2205           P0779             100             100
            广州  --->      深圳           20200608          BY2162           P0123             100             100
            广州  --->      香港           20200608          BY9176           P0170             100             100
            广州  --->      昆明           20200608          BY1863           P0695             100             100
            广州  --->      杭州           20200608          BY1873           P0169             100             100
            广州  --->      厦门           20200608          BY1355           P0646             100             100
            西安  --->      北京           20200608          PN0066           P0505             100             100
            西安  --->      上海           20200608          PN7451           P0194             100             100
            西安  --->      成都           20200608          PN6085           P0552             100             100
            西安  --->      广州           20200608          PN2622           P0293             100             100
            西安  --->      深圳           20200608          PN2039           P0755             100             100
            西安  --->      香港           20200608          PN4504           P0288             100             100
            西安  --->      昆明           20200608          PN3932           P0877             100             100
            西安  --->      杭州           20200608          PN3903           P0360             100             100
            西安  --->      厦门           20200608          PN4659           P0087             100             100
            深圳  --->      北京           20200608          ZH4237           P0557             100             100
            深圳  --->      上海           20200608          ZH0859           P0881             100             100
            深圳  --->      成都           20200608          ZH5590           P0485             100             100
            深圳  --->      广州           20200608          ZH4086           P0935             100             100
            深圳  --->      西安           20200608          ZH0954           P0737             100             100
            深圳  --->      香港           20200608          ZH7885           P0879             100             100
            深圳  --->      昆明           20200608          ZH3197           P0838             100             100
            深圳  --->      杭州           20200608          ZH7844           P0466             100             100
            深圳  --->      厦门           20200608          ZH0501           P0183             100             100
            香港  --->      北京           20200608          HK0224           P0674             100             100
            香港  --->      上海           20200608          HK2659           P0249             100             100
            香港  --->      成都           20200608          HK5606           P0139             100             100
            香港  --->      广州           20200608          HK1958           P0359             100             100
            香港  --->      西安           20200608          HK8086           P0532             100             100
            香港  --->      深圳           20200608          HK8429           P0431             100             100
            香港  --->      昆明           20200608          HK3847           P0968             100             100
            香港  --->      杭州           20200608          HK8123           P0420             100             100
            香港  --->      厦门           20200608          HK0100           P0128             100             100
            昆明  --->      北京           20200608          KY9727           P0157             100             100
            昆明  --->      上海           20200608          KY4824           P0435             100             100
            昆明  --->      成都           20200608          KY2629           P0734             100             100
            昆明  --->      广州           20200608          KY9543           P0105             100             100
            昆明  --->      西安           20200608          KY2375           P0750             100             100
            昆明  --->      深圳           20200608          KY7725           P0484             100             100
            昆明  --->      香港           20200608          KY2008           P0121             100             100
            昆明  --->      杭州           20200608          KY9338           P0513             100             100
            昆明  --->      厦门           20200608          KY2163           P0447             100             100
            杭州  --->      北京           20200608          GJ1998           P0085             100             100
            杭州  --->      上海           20200608          GJ0383           P0725             100             100
            杭州  --->      成都           20200608          GJ7553           P0795             100             100
            杭州  --->      广州           20200608          GJ7638           P0778             100             100
            杭州  --->      西安           20200608          GJ9462           P0189             100             100
            杭州  --->      深圳           20200608          GJ8646           P0588             100             100
            杭州  --->      香港           20200608          GJ8897           P0649             100             100
            杭州  --->      昆明           20200608          GJ6135           P0964             100             100
            杭州  --->      厦门           20200608          GJ6903           P0486             100             100
            厦门  --->      北京           20200608          MF9038           P0111             100             100
            厦门  --->      上海           20200608          MF1797           P0438             100             100
            厦门  --->      成都           20200608          MF5825           P0414             100             100
            厦门  --->      广州           20200608          MF8068           P0247             100             100
            厦门  --->      西安           20200608          MF1900           P0585             100             100
            厦门  --->      深圳           20200608          MF0859           P0781             100             100
            厦门  --->      香港           20200608          MF4404           P0016             100             100
            厦门  --->      昆明           20200608          MF0614           P0114             100             100
            厦门  --->      杭州           20200608          MF4602           P0610             100             100
            北京  --->      上海           20200609          JD7669           P0153             100             100
            北京  --->      成都           20200609          JD1027           P0889             100             100
            北京  --->      广州           20200609          JD0136           P0527             100             100
            北京  --->      西安           20200609          JD3717           P0285             100             100
            北京  --->      深圳           20200609          JD3145           P0131             100             100
            北京  --->      香港           20200609          JD8724           P0408             100             100
            北京  --->      昆明           20200609          JD6378           P0775             100             100
            北京  --->      杭州           20200609          JD4910           P0354             100             100
            北京  --->      厦门           20200609          JD4833           P0191             100             100
            上海  --->      北京           20200609          FM0067           P0543             100             100
            上海  --->      成都           20200609          FM7777           P0082             100             100
            上海  --->      广州           20200609          FM8841           P0750             100             100
            上海  --->      西安           20200609          FM1916           P0375             100             100
            上海  --->      深圳           20200609          FM3935           P0066             100             100
            上海  --->      香港           20200609          FM4166           P0850             100             100
            上海  --->      昆明           20200609          FM0945           P0302             100             100
            上海  --->      杭州           20200609          FM5163           P0046             100             100
            上海  --->      厦门           20200609          FM4907           P0468             100             100
            成都  --->      北京           20200609          EU3347           P0629             100             100
            成都  --->      上海           20200609          EU2753           P0639             100             100
            成都  --->      广州           20200609          EU5669           P0286             100             100
            成都  --->      西安           20200609          EU3759           P0443             100             100
            成都  --->      深圳           20200609          EU2617           P0167             100             100
            成都  --->      香港           20200609          EU0940           P0553             100             100
            成都  --->      昆明           20200609          EU0227           P0004             100             100
            成都  --->      杭州           20200609          EU6741           P0295             100             100
            成都  --->      厦门           20200609          EU4605           P0494             100             100
            广州  --->      北京           20200609          BY0231           P0159             100             100
            广州  --->      上海           20200609          BY1028           P0286             100             100
            广州  --->      成都           20200609          BY8732           P0463             100             100
            广州  --->      西安           20200609          BY4214           P0860             100             100
            广州  --->      深圳           20200609          BY1706           P0689             100             100
            广州  --->      香港           20200609          BY9226           P0012             100             100
            广州  --->      昆明           20200609          BY9016           P0668             100             100
            广州  --->      杭州           20200609          BY1585           P0088             100             100
            广州  --->      厦门           20200609          BY6674           P0306             100             100
            西安  --->      北京           20200609          PN3451           P0084             100             100
            西安  --->      上海           20200609          PN8159           P0771             100             100
            西安  --->      成都           20200609          PN8301           P0933             100             100
            西安  --->      广州           20200609          PN1026           P0859             100             100
            西安  --->      深圳           20200609          PN9250           P0003             100             100
            西安  --->      香港           20200609          PN5374           P0351             100             100
            西安  --->      昆明           20200609          PN4079           P0626             100             100
            西安  --->      杭州           20200609          PN4973           P0118             100             100
            西安  --->      厦门           20200609          PN9179           P0995             100             100
            深圳  --->      北京           20200609          ZH6355           P0445             100             100
            深圳  --->      上海           20200609          ZH1791           P0352             100             100
            深圳  --->      成都           20200609          ZH3454           P0955             100             100
            深圳  --->      广州           20200609          ZH0442           P0304             100             100
            深圳  --->      西安           20200609          ZH2672           P0855             100             100
            深圳  --->      香港           20200609          ZH7881           P0832             100             100
            深圳  --->      昆明           20200609          ZH9600           P0311             100             100
            深圳  --->      杭州           20200609          ZH5941           P0283             100             100
            深圳  --->      厦门           20200609          ZH5662           P0010             100             100
            香港  --->      北京           20200609          HK6653           P0450             100             100
            香港  --->      上海           20200609          HK1638           P0791             100             100
            香港  --->      成都           20200609          HK4566           P0111             100             100
            香港  --->      广州           20200609          HK7847           P0536             100             100
            香港  --->      西安           20200609          HK2271           P0726             100             100
            香港  --->      深圳           20200609          HK0709           P0834             100             100
            香港  --->      昆明           20200609          HK1514           P0774             100             100
            香港  --->      杭州           20200609          HK7787           P0310             100             100
            香港  --->      厦门           20200609          HK2312           P0175             100             100
            昆明  --->      北京           20200609          KY8724           P0652             100             100
            昆明  --->      上海           20200609          KY1860           P0973             100             100
            昆明  --->      成都           20200609          KY7548           P0614             100             100
            昆明  --->      广州           20200609          KY6883           P0732             100             100
            昆明  --->      西安           20200609          KY2691           P0740             100             100
            昆明  --->      深圳           20200609          KY9514           P0667             100             100
            昆明  --->      香港           20200609          KY0658           P0527             100             100
            昆明  --->      杭州           20200609          KY1441           P0037             100             100
            昆明  --->      厦门           20200609          KY6913           P0703             100             100
            杭州  --->      北京           20200609          GJ6839           P0270             100             100
            杭州  --->      上海           20200609          GJ1160           P0656             100             100
            杭州  --->      成都           20200609          GJ1334           P0756             100             100
            杭州  --->      广州           20200609          GJ3813           P0042             100             100
            杭州  --->      西安           20200609          GJ7336           P0150             100             100
            杭州  --->      深圳           20200609          GJ5293           P0961             100             100
            杭州  --->      香港           20200609          GJ0665           P0585             100             100
            杭州  --->      昆明           20200609          GJ1558           P0933             100             100
            杭州  --->      厦门           20200609          GJ3455           P0624             100             100
            厦门  --->      北京           20200609          MF5972           P0514             100             100
            厦门  --->      上海           20200609          MF8248           P0300             100             100
            厦门  --->      成都           20200609          MF0307           P0050             100             100
            厦门  --->      广州           20200609          MF9171           P0509             100             100
            厦门  --->      西安           20200609          MF9893           P0137             100             100
            厦门  --->      深圳           20200609          MF5282           P0887             100             100
            厦门  --->      香港           20200609          MF8027           P0242             100             100
            厦门  --->      昆明           20200609          MF5358           P0681             100             100
            厦门  --->      杭州           20200609          MF0201           P0505             100             100
            北京  --->      上海           20200610          JD1195           P0546             100             100
            北京  --->      成都           20200610          JD2166           P0152             100             100
            北京  --->      广州           20200610          JD8413           P0444             100             100
            北京  --->      西安           20200610          JD0097           P0358             100             100
            北京  --->      深圳           20200610          JD8891           P0477             100             100
            北京  --->      香港           20200610          JD7498           P0012             100             100
            北京  --->      昆明           20200610          JD6595           P0052             100             100
            北京  --->      杭州           20200610          JD2624           P0266             100             100
            北京  --->      厦门           20200610          JD4943           P0689             100             100
            上海  --->      北京           20200610          FM1079           P0762             100             100
            上海  --->      成都           20200610          FM0679           P0408             100             100
            上海  --->      广州           20200610          FM2461           P0874             100             100
            上海  --->      西安           20200610          FM5799           P0600             100             100
            上海  --->      深圳           20200610          FM2124           P0192             100             100
            上海  --->      香港           20200610          FM1873           P0567             100             100
            上海  --->      昆明           20200610          FM9442           P0553             100             100
            上海  --->      杭州           20200610          FM0630           P0800             100             100
            上海  --->      厦门           20200610          FM5151           P0795             100             100
            成都  --->      北京           20200610          EU3442           P0231             100             100
            成都  --->      上海           20200610          EU7471           P0372             100             100
            成都  --->      广州           20200610          EU1269           P0156             100             100
            成都  --->      西安           20200610          EU5290           P0939             100             100
            成都  --->      深圳           20200610          EU7881           P0679             100             100
            成都  --->      香港           20200610          EU7304           P0101             100             100
            成都  --->      昆明           20200610          EU3248           P0691             100             100
            成都  --->      杭州           20200610          EU9608           P0458             100             100
            成都  --->      厦门           20200610          EU2894           P0454             100             100
            广州  --->      北京           20200610          BY8114           P0449             100             100
            广州  --->      上海           20200610          BY3928           P0183             100             100
            广州  --->      成都           20200610          BY5084           P0633             100             100
            广州  --->      西安           20200610          BY6763           P0481             100             100
            广州  --->      深圳           20200610          BY8474           P0258             100             100
            广州  --->      香港           20200610          BY0655           P0935             100             100
            广州  --->      昆明           20200610          BY5354           P0043             100             100
            广州  --->      杭州           20200610          BY5277           P0880             100             100
            广州  --->      厦门           20200610          BY0575           P0093             100             100
            西安  --->      北京           20200610          PN2623           P0566             100             100
            西安  --->      上海           20200610          PN0716           P0592             100             100
            西安  --->      成都           20200610          PN5304           P0881             100             100
            西安  --->      广州           20200610          PN2163           P0469             100             100
            西安  --->      深圳           20200610          PN2756           P0273             100             100
            西安  --->      香港           20200610          PN7534           P0091             100             100
            西安  --->      昆明           20200610          PN2673           P0756             100             100
            西安  --->      杭州           20200610          PN8958           P0094             100             100
            西安  --->      厦门           20200610          PN6685           P0517             100             100
            深圳  --->      北京           20200610          ZH7058           P0013             100             100
            深圳  --->      上海           20200610          ZH8401           P0390             100             100
            深圳  --->      成都           20200610          ZH7547           P0755             100             100
            深圳  --->      广州           20200610          ZH6671           P0935             100             100
            深圳  --->      西安           20200610          ZH2397           P0728             100             100
            深圳  --->      香港           20200610          ZH3705           P0247             100             100
            深圳  --->      昆明           20200610          ZH0456           P0056             100             100
            深圳  --->      杭州           20200610          ZH6626           P0290             100             100
            深圳  --->      厦门           20200610          ZH8296           P0453             100             100
            香港  --->      北京           20200610          HK6552           P0059             100             100
            香港  --->      上海           20200610          HK1706           P0961             100             100
            香港  --->      成都           20200610          HK0834           P0276             100             100
            香港  --->      广州           20200610          HK4161           P0446             100             100
            香港  --->      西安           20200610          HK1030           P0452             100             100
            香港  --->      深圳           20200610          HK6679           P0417             100             100
            香港  --->      昆明           20200610          HK1631           P0657             100             100
            香港  --->      杭州           20200610          HK4167           P0844             100             100
            香港  --->      厦门           20200610          HK6557           P0663             100             100
            昆明  --->      北京           20200610          KY0955           P0932             100             100
            昆明  --->      上海           20200610          KY3549           P0263             100             100
            昆明  --->      成都           20200610          KY9105           P0818             100             100
            昆明  --->      广州           20200610          KY0971           P0283             100             100
            昆明  --->      西安           20200610          KY7748           P0549             100             100
            昆明  --->      深圳           20200610          KY7493           P0088             100             100
            昆明  --->      香港           20200610          KY2984           P0368             100             100
            昆明  --->      杭州           20200610          KY6242           P0173             100             100
            昆明  --->      厦门           20200610          KY6629           P0456             100             100
            杭州  --->      北京           20200610          GJ8162           P0716             100             100
            杭州  --->      上海           20200610          GJ1368           P0906             100             100
            杭州  --->      成都           20200610          GJ3143           P0470             100             100
            杭州  --->      广州           20200610          GJ3623           P0082             100             100
            杭州  --->      西安           20200610          GJ6869           P0532             100             100
            杭州  --->      深圳           20200610          GJ4035           P0238             100             100
            杭州  --->      香港           20200610          GJ7926           P0083             100             100
            杭州  --->      昆明           20200610          GJ1955           P0588             100             100
            杭州  --->      厦门           20200610          GJ0546           P0719             100             100
            厦门  --->      北京           20200610          MF5342           P0577             100             100
            厦门  --->      上海           20200610          MF3485           P0356             100             100
            厦门  --->      成都           20200610          MF0969           P0541             100             100
            厦门  --->      广州           20200610          MF7216           P0593             100             100
            厦门  --->      西安           20200610          MF5074           P0947             100             100
            厦门  --->      深圳           20200610          MF3149           P0438             100             100
            厦门  --->      香港           20200610          MF8908           P0748             100             100
            厦门  --->      昆明           20200610          MF4269           P0711             100             100
            厦门  --->      杭州           20200610          MF1469           P0150             100             100
            北京  --->      上海           20200611          JD3884           P0762             100             100
            北京  --->      成都           20200611          JD4484           P0897             100             100
            北京  --->      广州           20200611          JD3816           P0245             100             100
            北京  --->      西安           20200611          JD3022           P0139             100             100
            北京  --->      深圳           20200611          JD6133           P0763             100             100
            北京  --->      香港           20200611          JD5083           P0045             100             100
            北京  --->      昆明           20200611          JD1925           P0281             100             100
            北京  --->      杭州           20200611          JD1404           P0638             100             100
            北京  --->      厦门           20200611          JD9046           P0467             100             100
            上海  --->      北京           20200611          FM3760           P0214             100             100
            上海  --->      成都           20200611          FM6636           P0845             100             100
            上海  --->      广州           20200611          FM9760           P0933             100             100
            上海  --->      西安           20200611          FM1281           P0095             100             100
            上海  --->      深圳           20200611          FM3943           P0380             100             100
            上海  --->      香港           20200611          FM3690           P0328             100             100
            上海  --->      昆明           20200611          FM1046           P0460             100             100
            上海  --->      杭州           20200611          FM5052           P0766             100             100
            上海  --->      厦门           20200611          FM1847           P0655             100             100
            成都  --->      北京           20200611          EU4430           P0541             100             100
            成都  --->      上海           20200611          EU6224           P0556             100             100
            成都  --->      广州           20200611          EU7265           P0071             100             100
            成都  --->      西安           20200611          EU5530           P0766             100             100
            成都  --->      深圳           20200611          EU2494           P0331             100             100
            成都  --->      香港           20200611          EU7395           P0695             100             100
            成都  --->      昆明           20200611          EU3454           P0568             100             100
            成都  --->      杭州           20200611          EU2113           P0201             100             100
            成都  --->      厦门           20200611          EU1600           P0523             100             100
            广州  --->      北京           20200611          BY2040           P0902             100             100
            广州  --->      上海           20200611          BY0502           P0639             100             100
            广州  --->      成都           20200611          BY6717           P0040             100             100
            广州  --->      西安           20200611          BY4273           P0501             100             100
            广州  --->      深圳           20200611          BY2652           P0483             100             100
            广州  --->      香港           20200611          BY5375           P0717             100             100
            广州  --->      昆明           20200611          BY5111           P0362             100             100
            广州  --->      杭州           20200611          BY6753           P0036             100             100
            广州  --->      厦门           20200611          BY3008           P0631             100             100
            西安  --->      北京           20200611          PN8802           P0934             100             100
            西安  --->      上海           20200611          PN3609           P0503             100             100
            西安  --->      成都           20200611          PN3141           P0357             100             100
            西安  --->      广州           20200611          PN3850           P0813             100             100
            西安  --->      深圳           20200611          PN1134           P0402             100             100
            西安  --->      香港           20200611          PN7139           P0886             100             100
            西安  --->      昆明           20200611          PN6804           P0484             100             100
            西安  --->      杭州           20200611          PN0115           P0261             100             100
            西安  --->      厦门           20200611          PN5909           P0359             100             100
            深圳  --->      北京           20200611          ZH0104           P0704             100             100
            深圳  --->      上海           20200611          ZH7179           P0575             100             100
            深圳  --->      成都           20200611          ZH3111           P0163             100             100
            深圳  --->      广州           20200611          ZH0509           P0637             100             100
            深圳  --->      西安           20200611          ZH7102           P0475             100             100
            深圳  --->      香港           20200611          ZH6601           P0521             100             100
            深圳  --->      昆明           20200611          ZH5944           P0805             100             100
            深圳  --->      杭州           20200611          ZH7920           P0000             100             100
            深圳  --->      厦门           20200611          ZH4753           P0152             100             100
            香港  --->      北京           20200611          HK8067           P0560             100             100
            香港  --->      上海           20200611          HK5578           P0585             100             100
            香港  --->      成都           20200611          HK6205           P0506             100             100
            香港  --->      广州           20200611          HK7840           P0566             100             100
            香港  --->      西安           20200611          HK7489           P0455             100             100
            香港  --->      深圳           20200611          HK3688           P0252             100             100
            香港  --->      昆明           20200611          HK6757           P0335             100             100
            香港  --->      杭州           20200611          HK2094           P0260             100             100
            香港  --->      厦门           20200611          HK6878           P0301             100             100
            昆明  --->      北京           20200611          KY5214           P0812             100             100
            昆明  --->      上海           20200611          KY5807           P0575             100             100
            昆明  --->      成都           20200611          KY2994           P0435             100             100
            昆明  --->      广州           20200611          KY5868           P0196             100             100
            昆明  --->      西安           20200611          KY1870           P0351             100             100
            昆明  --->      深圳           20200611          KY5956           P0711             100             100
            昆明  --->      香港           20200611          KY6744           P0594             100             100
            昆明  --->      杭州           20200611          KY9247           P0475             100             100
            昆明  --->      厦门           20200611          KY1659           P0505             100             100
            杭州  --->      北京           20200611          GJ2483           P0671             100             100
            杭州  --->      上海           20200611          GJ5566           P0519             100             100
            杭州  --->      成都           20200611          GJ3901           P0805             100             100
            杭州  --->      广州           20200611          GJ9505           P0714             100             100
            杭州  --->      西安           20200611          GJ4767           P0366             100             100
            杭州  --->      深圳           20200611          GJ0264           P0813             100             100
            杭州  --->      香港           20200611          GJ8389           P0304             100             100
            杭州  --->      昆明           20200611          GJ6027           P0038             100             100
            杭州  --->      厦门           20200611          GJ8012           P0298             100             100
            厦门  --->      北京           20200611          MF7548           P0592             100             100
            厦门  --->      上海           20200611          MF6996           P0134             100             100
            厦门  --->      成都           20200611          MF6363           P0139             100             100
            厦门  --->      广州           20200611          MF6709           P0296             100             100
            厦门  --->      西安           20200611          MF2486           P0691             100             100
            厦门  --->      深圳           20200611          MF4737           P0351             100             100
            厦门  --->      香港           20200611          MF8837           P0599             100             100
            厦门  --->      昆明           20200611          MF5177           P0946             100             100
            厦门  --->      杭州           20200611          MF1254           P0243             100             100
            北京  --->      上海           20200612          JD0675           P0077             100             100
            北京  --->      成都           20200612          JD9204           P0783             100             100
            北京  --->      广州           20200612          JD0281           P0580             100             100
            北京  --->      西安           20200612          JD5613           P0217             100             100
            北京  --->      深圳           20200612          JD0037           P0383             100             100
            北京  --->      香港           20200612          JD3044           P0049             100             100
            北京  --->      昆明           20200612          JD6332           P0670             100             100
            北京  --->      杭州           20200612          JD6180           P0820             100             100
            北京  --->      厦门           20200612          JD2969           P0815             100             100
            上海  --->      北京           20200612          FM3734           P0643             100             100
            上海  --->      成都           20200612          FM8140           P0014             100             100
            上海  --->      广州           20200612          FM2773           P0220             100             100
            上海  --->      西安           20200612          FM3138           P0772             100             100
            上海  --->      深圳           20200612          FM3664           P0025             100             100
            上海  --->      香港           20200612          FM7494           P0939             100             100
            上海  --->      昆明           20200612          FM2032           P0680             100             100
            上海  --->      杭州           20200612          FM4680           P0224             100             100
            上海  --->      厦门           20200612          FM9770           P0500             100             100
            成都  --->      北京           20200612          EU3341           P0362             100             100
            成都  --->      上海           20200612          EU3191           P0473             100             100
            成都  --->      广州           20200612          EU7928           P0211             100             100
            成都  --->      西安           20200612          EU6338           P0189             100             100
            成都  --->      深圳           20200612          EU6904           P0045             100             100
            成都  --->      香港           20200612          EU6658           P0901             100             100
            成都  --->      昆明           20200612          EU0081           P0126             100             100
            成都  --->      杭州           20200612          EU7033           P0398             100             100
            成都  --->      厦门           20200612          EU2367           P0839             100             100
            广州  --->      北京           20200612          BY5212           P0709             100             100
            广州  --->      上海           20200612          BY6361           P0497             100             100
            广州  --->      成都           20200612          BY1427           P0241             100             100
            广州  --->      西安           20200612          BY5730           P0281             100             100
